""	"B_Outcome"	"Num_Startups"	"P_Work_Exp"	"P_Startup_Exp"
"1"	"Success"	"2"	"Industry"	NA
"2"	"Failure"	NA	"Industry"	NA
"3"	"Success"	"2"	NA	"Successful"
"4"	"Failure"	"1"	"Industry"	"Unsuccessful"
"5"	"Failure"	"5"	"Industry"	"Unsuccessful"
"6"	"Success"	NA	"Management"	"Successful"
"7"	"Success"	"2"	"Industry"	NA
"8"	"Success"	"2"	"Industry"	"Unsuccessful"
"9"	"Success"	NA	"Industry"	NA
"10"	"Success"	NA	"Industry"	NA
"11"	"Success"	"1"	"Industry"	"Successful"
"12"	"Success"	NA	"Industry"	"Successful"
"13"	"Failure"	NA	NA	"Unsuccessful"
"14"	"Failure"	NA	"Industry"	NA
"15"	"Failure"	"2"	NA	"Successful"
"16"	"Failure"	NA	"Management"	NA
"17"	"Success"	NA	"Industry"	NA
"18"	"Success"	"1"	NA	"Unsuccessful"
"19"	"Success"	NA	"Management"	NA
"20"	"Success"	"5"	"Industry"	"Successful"
"21"	"Success"	NA	"Industry"	"Unsuccessful"
"22"	"Success"	"1"	NA	"Successful"
"23"	"Success"	"4"	"Industry"	"Unsuccessful"
"24"	"Success"	"1"	"Industry"	"Successful"
"25"	"Success"	"5"	"Industry"	"Successful"
"26"	"Success"	"1"	NA	"Successful"
"27"	"Success"	"1"	"Management"	"Unsuccessful"
"28"	"Failure"	"1"	"Management"	"Successful"
"29"	"Failure"	NA	"Industry"	NA
"30"	"Failure"	"1"	"Management"	"Successful"
"31"	"Success"	"5"	"Industry"	"Unsuccessful"
"32"	"Success"	NA	"Management"	NA
"33"	"Success"	"2"	"Management"	"Unsuccessful"
"34"	"Success"	"5"	"Industry"	"Successful"
"35"	"Failure"	"5"	"Industry"	NA
"36"	"Success"	NA	"Industry"	NA
"37"	"Success"	NA	"Industry"	NA
"38"	"Failure"	NA	"Industry"	NA
"39"	"Failure"	"1"	"Management"	NA
"40"	"Success"	NA	"Management"	NA
"41"	"Success"	NA	"Industry"	NA
