"B_Outcome","Num_Startups","P_Work_Exp","P_Startup_Exp"
"Success",2,"Industry",""
"Failure",NA,"Industry",""
"Success",2,"","Successful"
"Failure",1,"Industry","Unsuccessful"
"Failure",5,"Industry","Unsuccessful"
"Success",NA,"Management","Successful"
"Success",2,"Industry",""
"Success",2,"Industry","Unsuccessful"
"Success",NA,"Industry",""
"Success",NA,"Industry",""
"Success",1,"Industry","Successful"
"Success",NA,"Industry","Successful"
"Failure",NA,"","Unsuccessful"
"Failure",NA,"Industry",""
"Failure",2,"","Successful"
"Failure",NA,"Management",""
"Success",NA,"Industry",""
"Success",1,"","Unsuccessful"
"Success",NA,"Management",""
"Success",5,"Industry","Successful"
"Success",NA,"Industry","Unsuccessful"
"Success",1,"","Successful"
"Success",4,"Industry","Unsuccessful"
"Success",1,"Industry","Successful"
"Success",5,"Industry","Successful"
"Success",1,"","Successful"
"Success",1,"Management","Unsuccessful"
"Failure",1,"Management","Successful"
"Failure",NA,"Industry",""
"Failure",1,"Management","Successful"
"Success",5,"Industry","Unsuccessful"
"Success",NA,"Management",""
"Success",2,"Management","Unsuccessful"
"Success",5,"Industry","Successful"
"Failure",5,"Industry",""
"Success",NA,"Industry",""
"Success",NA,"Industry",""
"Failure",NA,"Industry",""
"Failure",1,"Management",""
"Success",NA,"Management",""
"Success",NA,"Industry",""
"Failure",1,"","Unsuccessful"
"Success",2,"Industry","Successful"
"Success",1,"Industry","Successful"
"Success",NA,"Management",""
"Success",NA,"Industry",""
"Success",NA,"Industry","Successful"
"Failure",NA,"Management",""
"Success",1,"Industry","Unsuccessful"
"Success",4,"Industry","Unsuccessful"
"Failure",NA,"Industry",""
"Failure",NA,"Management",""
"Success",1,"Industry","Unsuccessful"
"Failure",5,"Management","Unsuccessful"
"Success",3,"Management","Unsuccessful"
"Failure",NA,"Industry",""
"Failure",1,"Industry","Unsuccessful"
"Failure",5,"Industry","Unsuccessful"
"Failure",2,"Industry","Unsuccessful"
"Success",NA,"Industry","Unsuccessful"
"Success",3,"Industry","Unsuccessful"
"Failure",4,"","Successful"
"Failure",1,"Industry","Unsuccessful"
"Success",NA,"Management",""
"Success",1,"Industry","Successful"
"Failure",NA,"Industry",""
"Failure",1,"","Unsuccessful"
"Failure",NA,"Industry",""
"Failure",NA,"Industry",""
"Success",2,"Industry","Successful"
"Failure",2,"Management","Unsuccessful"
"Success",3,"Industry","Unsuccessful"
"Failure",1,"Industry","Successful"
"Failure",5,"Industry","Successful"
"Success",NA,"","Unsuccessful"
"Failure",NA,"Industry",""
"Success",7,"Industry","Unsuccessful"
"Failure",NA,"Management",""
"Success",NA,"Management",""
"Success",1,"Industry","Successful"
"Success",10,"Industry","Successful"
"Failure",NA,"Industry","Unsuccessful"
"Failure",5,"Management","Successful"
"Success",NA,"Industry","Unsuccessful"
"Success",NA,"Industry",""
"Failure",2,"","Unsuccessful"
"Failure",NA,"Industry",""
"Success",NA,"Management",""
"Failure",NA,"Industry",""
"Success",1,"Industry","Unsuccessful"
"Success",2,"Industry",""
"Success",1,"Industry","Successful"
"Success",5,"Industry","Unsuccessful"
"Success",1,"Management","Unsuccessful"
"Failure",NA,"Industry",""
"Failure",NA,"Industry",""
"Success",1,"Industry","Unsuccessful"
"Failure",NA,"Industry",""
"Success",1,"Management","Successful"
"Failure",NA,"Industry",""
"Failure",1,"Management","Unsuccessful"
"Success",NA,"Industry",""
"Success",3,"","Unsuccessful"
"Success",NA,"","Successful"
"Success",1,"Management","Unsuccessful"
"Failure",1,"","Successful"
"Success",1,"Industry","Successful"
"Success",1,"Management","Successful"
"Success",1,"","Unsuccessful"
"Success",NA,"Industry",""
"Failure",NA,"Industry",""
"Success",NA,"Industry",""
"Failure",NA,"Management",""
"Success",NA,"Industry","Unsuccessful"
"Failure",NA,"Industry",""
"Success",2,"Industry","Successful"
"Failure",NA,"Industry",""
"Failure",NA,"Industry",""
"Success",NA,"Management","Successful"
"Success",1,"Management","Unsuccessful"
"Success",NA,"Management","Unsuccessful"
"Success",3,"","Successful"
"Failure",2,"Industry","Successful"
"Success",2,"Industry","Unsuccessful"
"Failure",NA,"Management",""
"Success",2,"Management","Unsuccessful"
"Failure",NA,"Industry",""
"Failure",NA,"Industry",""
"Failure",NA,"Management",""
"Success",1,"Industry","Successful"
"Success",1,"","Unsuccessful"
"Success",NA,"Management",""
"Success",NA,"Management",""
"Success",NA,"Management",""
"Failure",NA,"","Unsuccessful"
"Failure",NA,"Industry",""
"Failure",NA,"Industry",""
"Success",1,"Industry","Successful"
"Failure",1,"Industry","Unsuccessful"
"Failure",5,"","Unsuccessful"
"Failure",NA,"Industry",""
"Failure",NA,"Industry","Unsuccessful"
"Failure",NA,"Management",""
"Success",1,"Industry","Successful"
"Success",NA,"Management",""
"Failure",NA,"Industry",""
"Success",1,"Industry","Unsuccessful"
"Failure",NA,"Industry",""
"Failure",NA,"Industry",""
"Failure",1,"Management",""
"Success",NA,"","Unsuccessful"
"Failure",NA,"Management","Successful"
"Success",1,"Management","Successful"
