"B_Outcome","Num_Startups","P_Work_Exp","P_Startup_Exp"
"Success",2,"Industry","Unsuccessful"
"Failure",1,"Industry","Unsuccessful"
"Failure",5,"Industry","Unsuccessful"
"Success",2,"Industry","Unsuccessful"
"Success",5,"Industry","Successful"
"Success",2,"Industry","Successful"
"Failure",3,"Industry","Unsuccessful"
"Failure",5,"Management","Unsuccessful"
"Success",1,"Industry","Successful"
"Success",5,"Industry","Successful"
"Success",2,"Industry","Unsuccessful"
"Success",1,"Industry","Successful"
"Success",5,"Industry","Successful"
"Failure",1,"Management","Successful"
"Failure",2,"Industry","Unsuccessful"
"Success",1,"Management","Unsuccessful"
"Success",2,"Management","Unsuccessful"
"Success",1,"Industry","Unsuccessful"
"Success",5,"Industry","Unsuccessful"
"Success",3,"Management","Unsuccessful"
"Success",1,"Industry","Successful"
"Success",1,"Industry","Successful"
"Success",2,"Management","Successful"
"Failure",2,"Management","Successful"
"Success",1,"Industry","Unsuccessful"
"Failure",1,"Management","Unsuccessful"
"Success",1,"Industry","Unsuccessful"
"Failure",2,"Industry","Unsuccessful"
"Failure",1,"Industry","Unsuccessful"
"Success",1,"Industry","Unsuccessful"
"Success",3,"Industry","Unsuccessful"
"Success",3,"Management","Unsuccessful"
"Success",1,"Industry","Successful"
"Failure",5,"Industry","Unsuccessful"
"Failure",1,"Industry","Unsuccessful"
"Success",3,"Industry","Unsuccessful"
"Failure",1,"Industry","Successful"
"Failure",1,"Industry","Unsuccessful"
"Success",7,"Industry","Unsuccessful"
"Success",1,"Industry","Successful"
"Success",10,"Industry","Successful"
"Success",10,"Industry","Unsuccessful"
"Success",2,"Industry","Successful"
"Success",1,"Management","Unsuccessful"
"Failure",1,"Industry","Successful"
"Success",1,"Industry","Successful"
"Success",5,"Industry","Unsuccessful"
"Failure",1,"Industry","Successful"
"Success",1,"Industry","Unsuccessful"
"Failure",2,"Industry","Unsuccessful"
"Failure",1,"Management","Unsuccessful"
"Success",1,"Industry","Successful"
"Success",1,"Management","Unsuccessful"
"Success",1,"Management","Successful"
"Success",1,"Management","Unsuccessful"
"Success",1,"Industry","Successful"
"Failure",2,"Management","Unsuccessful"
"Success",2,"Industry","Successful"
"Failure",1,"Industry","Unsuccessful"
"Success",1,"Management","Unsuccessful"
"Success",2,"Management","Unsuccessful"
"Success",2,"Industry","Unsuccessful"
"Failure",2,"Management","Unsuccessful"
"Failure",1,"Industry","Unsuccessful"
"Failure",2,"Management","Successful"
"Success",2,"Management","Unsuccessful"
"Success",3,"Management","Unsuccessful"
"Failure",4,"Industry","Unsuccessful"
"Failure",5,"Industry","Successful"
"Failure",5,"Management","Unsuccessful"
"Failure",5,"Industry","Unsuccessful"
"Success",1,"Industry","Successful"
"Success",1,"Management","Unsuccessful"
"Failure",3,"Industry","Unsuccessful"
"Failure",2,"Industry","Unsuccessful"
"Failure",4,"Management","Successful"
"Success",1,"Management","Successful"
